MONTH,DAY_OF_WEEK,DEP_DEL15,DEP_TIME_BLK,DISTANCE_GROUP,SEGMENT_NUMBER,CONCURRENT_FLIGHTS,NUMBER_OF_SEATS,CARRIER_NAME,AIRPORT_FLIGHTS_MONTH,AIRLINE_FLIGHTS_MONTH,AIRLINE_AIRPORT_FLIGHTS_MONTH,AVG_MONTHLY_PASS_AIRPORT,AVG_MONTHLY_PASS_AIRLINE,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,DEPARTING_AIRPORT,LATITUDE,LONGITUDE,PREVIOUS_AIRPORT,PRCP,SNOW,SNWD,TMAX,AWND
1,7,0,0600-0659,1,1,27,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,7,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0600-0659,5,1,27,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,13,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,1,0700-0759,3,1,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,19,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0600-0659,5,1,27,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,4,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0600-0659,9,1,27,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,7,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,1,1,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,15,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0800-0859,7,1,25,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,20,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,5,1,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,18,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,2,1,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,13,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,1500-1559,2,1,26,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,17,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0600-0659,2,1,27,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,15,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,2,1,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,11,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,6,1,29,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,1,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,2,1,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,14,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,2,1,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,16,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0800-0859,2,1,25,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,12,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,5,1,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,13,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,1,2300-2359,9,1,17,178,Spirit Air Lines,13056,15023,1257,1903352,2688839,9.17E-06,0.000124651,6,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0001-0559,6,1,10,178,Spirit Air Lines,13056,15023,1257,1903352,2688839,9.17E-06,0.000124651,9,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0800-0859,9,1,25,176,American Airlines Inc.,13056,75506,1174,1903352,11744595,9.82E-05,0.000177287,20,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0600-0659,7,1,27,160,American Airlines Inc.,13056,75506,1174,1903352,11744595,9.82E-05,0.000177287,7,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,6,1,29,129,Allegiant Air,13056,6713,645,1903352,1257616,1.33E-05,0.000107743,11,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0800-0859,8,1,25,187,American Airlines Inc.,13056,75506,1174,1903352,11744595,9.82E-05,0.000177287,6,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,1200-1259,1,1,26,76,SkyWest Airlines Inc.,13056,62105,148,1903352,3472966,3.42E-05,9.90E-05,2,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,1000-1059,8,1,29,187,American Airlines Inc.,13056,75506,1174,1903352,11744595,9.82E-05,0.000177287,10,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0600-0659,2,1,27,150,American Airlines Inc.,13056,75506,1174,1903352,11744595,9.82E-05,0.000177287,16,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0001-0559,5,1,10,182,Spirit Air Lines,13056,15023,1257,1903352,2688839,9.17E-06,0.000124651,1,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,4,1,29,129,Allegiant Air,13056,6713,645,1903352,1257616,1.33E-05,0.000107743,11,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,4,1,29,145,Spirit Air Lines,13056,15023,1257,1903352,2688839,9.17E-06,0.000124651,12,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0800-0859,7,1,25,160,American Airlines Inc.,13056,75506,1174,1903352,11744595,9.82E-05,0.000177287,2,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,2300-2359,8,1,17,178,Spirit Air Lines,13056,15023,1257,1903352,2688839,9.17E-06,0.000124651,5,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,1,2300-2359,8,1,17,182,Spirit Air Lines,13056,15023,1257,1903352,2688839,9.17E-06,0.000124651,3,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0600-0659,5,1,27,181,American Airlines Inc.,13056,75506,1174,1903352,11744595,9.82E-05,0.000177287,4,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,6,1,29,129,Allegiant Air,13056,6713,645,1903352,1257616,1.33E-05,0.000107743,11,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0800-0859,5,1,25,129,Allegiant Air,13056,6713,645,1903352,1257616,1.33E-05,0.000107743,11,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,5,1,29,129,Allegiant Air,13056,6713,645,1903352,1257616,1.33E-05,0.000107743,11,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0700-0759,4,1,29,129,Allegiant Air,13056,6713,645,1903352,1257616,1.33E-05,0.000107743,11,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0001-0559,8,1,10,187,American Airlines Inc.,13056,75506,1174,1903352,11744595,9.82E-05,0.000177287,4,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0900-0959,5,1,28,187,American Airlines Inc.,13056,75506,1174,1903352,11744595,9.82E-05,0.000177287,10,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0600-0659,9,1,27,190,American Airlines Inc.,13056,75506,1174,1903352,11744595,9.82E-05,0.000177287,6,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,1,0001-0559,1,1,10,76,SkyWest Airlines Inc.,13056,62105,148,1903352,3472966,3.42E-05,9.90E-05,5,McCarran International,36.08,-115.152,NONE,0,0,0,65,2.91
1,7,0,0800-0859,1,2,25,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,18,McCarran International,36.08,-115.152,Phoenix Sky Harbor International,0,0,0,65,2.91
1,7,0,1200-1259,1,2,26,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,10,McCarran International,36.08,-115.152,San Francisco International,0,0,0,65,2.91
1,7,0,0800-0859,2,2,25,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,19,McCarran International,36.08,-115.152,Salt Lake City International,0,0,0,65,2.91
1,7,0,1000-1059,2,2,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,18,McCarran International,36.08,-115.152,Orange County,0,0,0,65,2.91
1,7,0,0900-0959,2,2,28,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,20,McCarran International,36.08,-115.152,Portland International,0,0,0,65,2.91
1,7,0,1000-1059,2,2,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,17,McCarran International,36.08,-115.152,Spokane International,0,0,0,65,2.91
1,7,0,0900-0959,4,2,28,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,13,McCarran International,36.08,-115.152,Metropolitan Oakland International,0,0,0,65,2.91
1,7,0,1000-1059,2,2,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,14,McCarran International,36.08,-115.152,Seattle International,0,0,0,65,2.91
1,7,0,0900-0959,7,2,28,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,4,McCarran International,36.08,-115.152,Port Columbus International,0,0,0,65,2.91
1,7,0,1000-1059,7,2,29,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,5,McCarran International,36.08,-115.152,Cleveland-Hopkins International,0,0,0,65,2.91
1,7,0,0800-0859,7,2,25,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,1,McCarran International,36.08,-115.152,Austin - Bergstrom International,0,0,0,65,2.91
1,7,0,0800-0859,5,2,25,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,13,McCarran International,36.08,-115.152,Los Angeles International,0,0,0,65,2.91
1,7,0,1000-1059,5,2,29,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,2,McCarran International,36.08,-115.152,General Mitchell Field,0,0,0,65,2.91
1,7,0,1000-1059,1,2,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,16,McCarran International,36.08,-115.152,Sacramento International,0,0,0,65,2.91
1,7,0,0900-0959,7,2,28,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,2,McCarran International,36.08,-115.152,Atlanta Municipal,0,0,0,65,2.91
1,7,0,1100-1159,4,2,26,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,17,McCarran International,36.08,-115.152,San Francisco International,0,0,0,65,2.91
1,7,0,0900-0959,5,2,28,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,12,McCarran International,36.08,-115.152,Reno/Tahoe International,0,0,0,65,2.91
1,7,0,2000-2059,1,2,18,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,11,McCarran International,36.08,-115.152,Stapleton International,0,0,0,65,2.91
1,7,0,1000-1059,4,2,29,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,2,McCarran International,36.08,-115.152,Detroit Metro Wayne County,0,0,0,65,2.91
1,7,0,0900-0959,2,2,28,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,15,McCarran International,36.08,-115.152,San Diego International Lindbergh Fl,0,0,0,65,2.91
1,7,0,1000-1059,4,2,29,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,5,McCarran International,36.08,-115.152,Friendship International,0,0,0,65,2.91
1,7,0,0900-0959,7,2,28,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,3,McCarran International,36.08,-115.152,Chicago Midway International,0,0,0,65,2.91
1,7,0,1000-1059,2,2,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,14,McCarran International,36.08,-115.152,Reno/Tahoe International,0,0,0,65,2.91
1,7,0,0900-0959,2,2,28,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,12,McCarran International,36.08,-115.152,Ontario International,0,0,0,65,2.91
1,7,0,0700-0759,2,2,29,143,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,20,McCarran International,36.08,-115.152,Phoenix Sky Harbor International,0,0,0,65,2.91
1,7,0,0900-0959,9,2,28,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,3,McCarran International,36.08,-115.152,Eppley Airfield,0,0,0,65,2.91
1,7,0,0800-0859,8,2,25,175,Southwest Airlines Co.,13056,107363,5873,1903352,13382999,6.18E-05,9.89E-05,1,McCarran International,36.08,-115.152,Tucson International,0,0,0,65,2.91
